slug,title,doc_type,lab_slug,source_url,updated_at,word_count_latest
openai_gpt51_system_card,GPT-5.1 System Card,model_card,openai,https://cdn.openai.com/pdf/4173ec8d-1229-47db-96de-06d87147e07e/5_1_system_card.pdf,2026-03-31 11:26:11.528273+00:00,1340
openai_gpt52_system_card,GPT-5.2 System Card,model_card,openai,https://cdn.openai.com/pdf/3a4153c8-c748-4b71-8e31-aecbde944f8d/oai_5_2_system-card.pdf,2026-03-31 11:26:29.080082+00:00,7212
openai_gpt53_codex_card,GPT-5.3 Codex System Card,model_card,openai,https://cdn.openai.com/pdf/23eca107-a9b1-4d2c-b156-7deb4fbc697c/GPT-5-3-Codex-System-Card-02.pdf,2026-03-31 11:26:46.624725+00:00,10850
openai_gpt55_system_card,GPT-5.5 System Card,model_card,openai,https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,2026-04-23 18:40:07.654336+00:00,14496
openai_gpt56_system_card,GPT-5.6 Preview System Card,model_card,openai,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,2026-06-28 17:19:23.821239+00:00,19590
openai_gpt5_system_card,GPT-5 System Card,model_card,openai,https://cdn.openai.com/gpt-5-system-card.pdf,2026-03-31 09:14:46.064787+00:00,20412
openai_mental_health,Mental Health Safety Update,usage_policy,openai,https://openai.com/index/update-on-mental-health-related-work/,2026-04-13 14:57:39.748859+00:00,680
openai_model_spec,Model Spec,constitution,openai,https://cdn.openai.com/spec/model-spec-2024-05-08.html,2026-04-08 22:19:36.578478+00:00,10084
openai_o1_system_card,o1 System Card,model_card,openai,https://cdn.openai.com/o1-system-card-20241205.pdf,2026-03-31 09:15:24.496606+00:00,17410
openai_o3mini_card,o3-mini System Card,model_card,openai,https://cdn.openai.com/o3-mini-system-card-feb10.pdf,2026-03-31 11:25:40.687533+00:00,12135
openai_o3_system_card,o3 System Card,model_card,openai,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,2026-03-31 09:15:45.628971+00:00,9945
openai_operator_card,Operator System Card,model_card,openai,https://cdn.openai.com/operator_system_card.pdf,2026-03-31 11:25:55.593510+00:00,5291
openai_preparedness,Preparedness Framework,constitution,openai,https://cdn.openai.com/openai-preparedness-framework-beta.pdf,2026-04-08 22:19:36.632230+00:00,12537
xai_api_docs,xAI API Documentation,usage_policy,xai,https://docs.x.ai/docs/api-reference,2026-04-08 22:19:38.115960+00:00,989
xai_aup,Acceptable Use Policy,usage_policy,xai,https://x.ai/legal/acceptable-use-policy,2026-04-08 22:19:38.145781+00:00,438
xai_grok41_card,Grok 4.1 Model Card,model_card,xai,https://data.x.ai/2025-11-17-grok-4-1-model-card.pdf,2026-03-31 11:28:05.454574+00:00,2243
xai_grok4_card,Grok 4 Model Card,model_card,xai,https://data.x.ai/2025-08-20-grok-4-model-card.pdf,2026-03-31 09:21:12.829271+00:00,3482
xai_grok4_fast_card,Grok 4 Fast Model Card,model_card,xai,https://data.x.ai/2025-09-19-grok-4-fast-model-card.pdf,2026-03-31 11:27:51.346632+00:00,2994
xai_grok_docs,Grok Documentation,usage_policy,xai,https://docs.x.ai/docs,2026-03-31 09:20:58.337442+00:00,448
xai_risk_framework,Risk Management Framework,constitution,xai,https://data.x.ai/2025-08-20-xai-risk-management-framework.pdf,2026-04-08 22:19:38.223154+00:00,3484
